id,symbol,image_location
345,can_opener_electric,0
346,candle_2,0
347,candy_cane,0
348,candy_floss,0
349,candy_hearts,0
350,canoe,0
351,cap,0
352,car,0
353,car_2,0
354,car_boot,0
355,car_bumper,0
356,car_mechanic_1a,0
357,car_mechanic_1b,0
358,car_mechanic_2a,0
359,car_mechanic_2b,0
360,car_toy,0
361,car_transporter,0
362,caravan,0
363,carbohydrates,0
364,card,0
365,cardboard,0
366,care_assistant_1a,0
367,care_assistant_1b,0
368,care_assistant_2a,0
369,care_assistant_2b,0
370,care_assistant_3a,0
371,care_assistant_3b,0
372,care_assistant_4a,0
373,care_assistant_4b,0
374,care_assistant_5a,0
375,care_assistant_5b,0
376,care_assistant_6a,0
377,care_assistant_6b,0
378,caretaker_1a,0
379,caretaker_1b,0
380,caretaker_2a,0
381,caretaker_2b,0
382,carol_singer,0
383,carpenter_1a,0
384,carpenter_1b,0
385,carpenter_2a,0
386,carpenter_2b,0
387,carrot,0
388,cart,0
389,carton_1,0
390,carton_2,0
391,cash_point,0
392,cashew,0
393,casserole,0
394,casserole_1,0
395,casserole_2,0
396,cassette_tape,0
397,castle,0
398,castor_sugar,0
399,cat,0
400,cat_bed,0
401,cat_biscuits,0
402,cat_food,0
403,caterpillar,0
404,catherine_wheel,0
405,cauliflower,0
406,cctv,0
407,cd_player_personal,0
408,ceiling,0
409,ceiling_light,0
410,celebrate_2,0
411,celebrate_3,0
412,celebrate_birthday,0
413,celebration,0
414,celeriac,0
415,celery,0
416,cement_mixer,0
417,centipede,0
418,cereal,0
419,cereal_bowl,0
420,cereal_box_bran,0
421,cereal_box_museli,0
422,cereal_bran,0
423,cereal_museli,0
424,certificate,0
425,chair,0
426,chair_computer,0
427,chair_dining,0
428,chair_wing_back,0
429,chaise_lounge,0
430,chalk,0
431,chameleon,0
432,champagne,0
433,chandelier,0
434,change_nappy,0
435,change_tv_channel,0
436,channel_bbc_1,0
437,chapatti,0
438,charge,0
439,charger_electric,0
440,cheek,0
441,cheese,0
